Series,f0,f0.se,f0.p,f0.lo95,f0.up95,Method,Warning,Prefilter,Prefilter.p,SatCrit.Warning
RS_R01_INC-1,-3.086e+00,6.947e-01,4.672e-05,-4.480e+00,-1.692e+00,HMR,None,None,NA,NA
RS_R02_INC-1,-1.256e+02,1.656e+01,5.815e-10,-1.588e+02,-9.236e+01,HMR,None,None,NA,NA
RS_R03_INC-1,-2.093e+00,1.305e+00,1.150e-01,-4.712e+00,5.270e-01,HMR,None,None,NA,NA
RS_R04_INC-1,-3.522e+00,5.884e-01,2.028e-07,-4.703e+00,-2.341e+00,HMR,None,None,NA,NA
RS_R05_INC-1,-1.138e+02,6.625e+01,9.186e-02,-2.467e+02,1.916e+01,HMR,None,None,NA,NA
RS_R06_INC-1,-3.855e+00,7.239e-01,2.186e-06,-5.308e+00,-2.402e+00,HMR,None,None,NA,NA
RS_R07_INC-1,-9.666e-01,7.616e-01,2.100e-01,-2.495e+00,5.616e-01,HMR,None,None,NA,NA
RS_S01_INC-1,3.666e-01,3.141e-01,2.484e-01,-2.636e-01,9.969e-01,HMR,None,None,NA,NA
RS_S02_INC-1,-4.066e+00,1.494e+00,8.811e-03,-7.063e+00,-1.068e+00,HMR,None,None,NA,NA
RS_S03_INC-1,2.852e+00,3.325e+00,3.949e-01,-3.820e+00,9.524e+00,HMR,None,None,NA,NA
RS_S04_INC-1,-5.613e+00,2.626e+00,3.736e-02,-1.088e+01,-3.415e-01,HMR,None,None,NA,NA
RS_S05_INC-1,-8.141e-01,4.821e-01,9.729e-02,-1.782e+00,1.533e-01,HMR,None,None,NA,NA
RS_S06_INC-1,1.314e+00,6.704e-01,5.550e-02,-3.207e-02,2.660e+00,HMR,None,None,NA,NA
RS_S07_INC-1,0.000e+00,NA,NA,NA,NA,No flux,None,None,NA,NA
RS_S08_INC-1,-2.628e+00,7.104e+00,7.130e-01,-1.689e+01,1.163e+01,HMR,None,None,NA,NA
RS_S09_INC-1,-2.784e+01,2.225e+01,2.165e-01,-7.249e+01,1.681e+01,HMR,None,None,NA,NA
RS_S10_INC-1,-1.322e-01,2.489e-01,5.975e-01,-6.317e-01,3.672e-01,HMR,None,None,NA,NA
RS_S11_INC-1,-1.904e+00,5.037e-01,4.069e-04,-2.914e+00,-8.928e-01,HMR,None,None,NA,NA
RS_S12_INC-1,-6.500e-01,3.195e-01,4.702e-02,-1.291e+00,-8.886e-03,HMR,None,None,NA,NA
RS_S13_INC-1,-6.311e+00,2.714e+00,2.401e-02,-1.176e+01,-8.644e-01,HMR,None,None,NA,NA
RS_S14_INC-1,-2.825e-01,4.818e-02,3.173e-07,-3.791e-01,-1.858e-01,LR,None,None,NA,NA
RS_S15_INC-1,2.624e+00,6.805e-01,3.198e-04,1.258e+00,3.989e+00,HMR,None,None,NA,NA
RS_S16_INC-1,5.025e-01,7.468e-01,5.040e-01,-9.960e-01,2.001e+00,HMR,None,None,NA,NA
RS_S17_INC-1,-1.201e+00,1.193e+00,3.191e-01,-3.597e+00,1.195e+00,HMR,None,None,NA,NA
RS_S18_INC-1,-6.772e-02,2.670e-01,8.008e-01,-6.034e-01,4.680e-01,HMR,None,None,NA,NA
RS_S19_INC-1,-1.144e+00,3.762e-01,3.683e-03,-1.899e+00,-3.893e-01,HMR,None,None,NA,NA
RS_S20_INC-1,6.348e+00,8.058e+00,4.344e-01,-9.821e+00,2.252e+01,HMR,None,None,NA,NA
RS_S21_INC-1,-2.783e+01,6.934e+00,1.922e-04,-4.175e+01,-1.392e+01,HMR,None,None,NA,NA
RS_S22_INC-1,-1.993e-01,5.969e-02,1.542e-03,-3.190e-01,-7.960e-02,LR,None,None,NA,NA
RS_S23_INC-1,-1.215e+01,3.676e+00,1.737e-03,-1.953e+01,-4.773e+00,HMR,None,None,NA,NA
RS_S24_INC-1,-4.295e+00,1.553e+00,7.827e-03,-7.411e+00,-1.180e+00,HMR,None,None,NA,NA
RS_S25_INC-1,3.037e+00,1.025e+00,4.588e-03,9.801e-01,5.093e+00,HMR,None,None,NA,NA
RS_S26_INC-1,-6.806e-01,2.940e-01,2.460e-02,-1.271e+00,-9.061e-02,HMR,None,None,NA,NA
RS_S27_INC-1,1.176e-01,5.003e-02,2.250e-02,1.725e-02,2.180e-01,LR,None,None,NA,NA
RS_S28_INC-1,1.246e-01,3.310e-02,4.193e-04,5.823e-02,1.910e-01,LR,None,None,NA,NA
RS_S29_INC-1,8.332e-01,1.807e+00,6.466e-01,-2.792e+00,4.459e+00,HMR,None,None,NA,NA
