Series,V,A,Time,Concentration
RS_S29_INC-1,0.05,0.000298,4,8.79
RS_R01_INC-1,0.05,0.000298,6,8.39
RS_R02_INC-1,0.05,0.000298,6,8.06
RS_R03_INC-1,0.05,0.000298,6,6.9
RS_R04_INC-1,0.05,0.000298,6,8.23
RS_R05_INC-1,0.05,0.000298,6,7.91
RS_R06_INC-1,0.05,0.000298,6,8.12
RS_R07_INC-1,0.05,0.000298,6,7.77
RS_S01_INC-1,0.05,0.000298,6,7.73
RS_S02_INC-1,0.05,0.000298,6,7.46
RS_S03_INC-1,0.05,0.000298,6,8.89
RS_S04_INC-1,0.05,0.000298,6,7.93
RS_S05_INC-1,0.05,0.000298,6,7.69
RS_S06_INC-1,0.05,0.000298,6,7.38
RS_S07_INC-1,0.05,0.000298,6,8.67
RS_S08_INC-1,0.05,0.000298,6,8.62
RS_S09_INC-1,0.05,0.000298,6,7.64
RS_S10_INC-1,0.05,0.000298,6,8.54
RS_S11_INC-1,0.05,0.000298,6,8.96
RS_S12_INC-1,0.05,0.000298,6,10.32
RS_S13_INC-1,0.05,0.000298,6,8.32
RS_S14_INC-1,0.05,0.000298,6,8.14
RS_S15_INC-1,0.05,0.000298,6,8
RS_S16_INC-1,0.05,0.000298,6,7.27
RS_S17_INC-1,0.05,0.000298,6,7.48
RS_S18_INC-1,0.05,0.000298,6,8.9
RS_S19_INC-1,0.05,0.000298,6,8.69
RS_S20_INC-1,0.05,0.000298,6,11.03
RS_S21_INC-1,0.05,0.000298,6,7.98
RS_S22_INC-1,0.05,0.000298,6,9.53
RS_S23_INC-1,0.05,0.000298,6,8.15
RS_S24_INC-1,0.05,0.000298,6,8.58
RS_S25_INC-1,0.05,0.000298,6,8.74
RS_S26_INC-1,0.05,0.000298,6,7.74
RS_S27_INC-1,0.05,0.000298,6,7.39
RS_S28_INC-1,0.05,0.000298,6,7.69
RS_S29_INC-1,0.05,0.000298,6,8.73
RS_R01_INC-1,0.05,0.000298,8,8.57
RS_R02_INC-1,0.05,0.000298,8,7.68
RS_R03_INC-1,0.05,0.000298,8,6.87
RS_R04_INC-1,0.05,0.000298,8,8.35
RS_R05_INC-1,0.05,0.000298,8,8.08
RS_R06_INC-1,0.05,0.000298,8,7.88
RS_R07_INC-1,0.05,0.000298,8,7.99
RS_S01_INC-1,0.05,0.000298,8,7.69
RS_S02_INC-1,0.05,0.000298,8,7.46
RS_S03_INC-1,0.05,0.000298,8,8.89
RS_S04_INC-1,0.05,0.000298,8,7.5
RS_S05_INC-1,0.05,0.000298,8,7.74
RS_S06_INC-1,0.05,0.000298,8,7.32
RS_S07_INC-1,0.05,0.000298,8,8.83
RS_S08_INC-1,0.05,0.000298,8,8.76
RS_S09_INC-1,0.05,0.000298,8,7.71
RS_S10_INC-1,0.05,0.000298,8,8.65
RS_S11_INC-1,0.05,0.000298,8,8.87
RS_S12_INC-1,0.05,0.000298,8,10.18
RS_S13_INC-1,0.05,0.000298,8,8.43
RS_S14_INC-1,0.05,0.000298,8,8.14
RS_S15_INC-1,0.05,0.000298,8,7.93
RS_S16_INC-1,0.05,0.000298,8,7.46
RS_S17_INC-1,0.05,0.000298,8,7.4
RS_S18_INC-1,0.05,0.000298,8,9.05
RS_S19_INC-1,0.05,0.000298,8,8.45
RS_S20_INC-1,0.05,0.000298,8,11.05
RS_S21_INC-1,0.05,0.000298,8,7.87
RS_S22_INC-1,0.05,0.000298,8,9.75
RS_S23_INC-1,0.05,0.000298,8,8.11
RS_S24_INC-1,0.05,0.000298,8,8.47
RS_S25_INC-1,0.05,0.000298,8,8.79
RS_S26_INC-1,0.05,0.000298,8,7.73
RS_S27_INC-1,0.05,0.000298,8,7.39
RS_S28_INC-1,0.05,0.000298,8,7.74
RS_S29_INC-1,0.05,0.000298,8,8.71
RS_R01_INC-1,0.05,0.000298,10,8.25
RS_R02_INC-1,0.05,0.000298,10,7.51
RS_R03_INC-1,0.05,0.000298,10,6.73
RS_R04_INC-1,0.05,0.000298,10,8.15
RS_R05_INC-1,0.05,0.000298,10,8.16
RS_R06_INC-1,0.05,0.000298,10,7.91
RS_R07_INC-1,0.05,0.000298,10,7.95
RS_S01_INC-1,0.05,0.000298,10,7.69
RS_S02_INC-1,0.05,0.000298,10,7.45
RS_S03_INC-1,0.05,0.000298,10,8.86
RS_S04_INC-1,0.05,0.000298,10,7.46
RS_S05_INC-1,0.05,0.000298,10,7.75
RS_S06_INC-1,0.05,0.000298,10,7.33
RS_S07_INC-1,0.05,0.000298,10,8.71
RS_S08_INC-1,0.05,0.000298,10,8.65
RS_S09_INC-1,0.05,0.000298,10,7.69
RS_S10_INC-1,0.05,0.000298,10,8.56
RS_S11_INC-1,0.05,0.000298,10,8.94
RS_S12_INC-1,0.05,0.000298,10,10.06
RS_S13_INC-1,0.05,0.000298,10,8.33
RS_S14_INC-1,0.05,0.000298,10,8.21
RS_S15_INC-1,0.05,0.000298,10,8.04
RS_S16_INC-1,0.05,0.000298,10,7.39
RS_S17_INC-1,0.05,0.000298,10,7.61
RS_S18_INC-1,0.05,0.000298,10,8.86
RS_S19_INC-1,0.05,0.000298,10,8.73
RS_S20_INC-1,0.05,0.000298,10,10.96
RS_S21_INC-1,0.05,0.000298,10,7.96
RS_S22_INC-1,0.05,0.000298,10,9.73
RS_S23_INC-1,0.05,0.000298,10,8.11
RS_S24_INC-1,0.05,0.000298,10,8.57
RS_S25_INC-1,0.05,0.000298,10,8.78
RS_S26_INC-1,0.05,0.000298,10,7.81
RS_S27_INC-1,0.05,0.000298,10,7.4
RS_S28_INC-1,0.05,0.000298,10,7.79
RS_S29_INC-1,0.05,0.000298,10,8.81
RS_R01_INC-1,0.05,0.000298,12,8.46
RS_R02_INC-1,0.05,0.000298,12,7.92
RS_R03_INC-1,0.05,0.000298,12,6.88
RS_R04_INC-1,0.05,0.000298,12,8.29
RS_R05_INC-1,0.05,0.000298,12,8.08
RS_R06_INC-1,0.05,0.000298,12,7.67
RS_R07_INC-1,0.05,0.000298,12,8.47
RS_S01_INC-1,0.05,0.000298,12,7.72
RS_S02_INC-1,0.05,0.000298,12,7.47
RS_S03_INC-1,0.05,0.000298,12,8.86
RS_S04_INC-1,0.05,0.000298,12,7.57
RS_S05_INC-1,0.05,0.000298,12,7.7
RS_S06_INC-1,0.05,0.000298,12,7.3
RS_S07_INC-1,0.05,0.000298,12,8.79
RS_S08_INC-1,0.05,0.000298,12,8.59
RS_S09_INC-1,0.05,0.000298,12,7.75
RS_S10_INC-1,0.05,0.000298,12,8.54
RS_S11_INC-1,0.05,0.000298,12,8.88
RS_S12_INC-1,0.05,0.000298,12,10.13
RS_S13_INC-1,0.05,0.000298,12,8.44
RS_S14_INC-1,0.05,0.000298,12,8.21
RS_S15_INC-1,0.05,0.000298,12,8
RS_S16_INC-1,0.05,0.000298,12,7.26
RS_S17_INC-1,0.05,0.000298,12,7.38
RS_S18_INC-1,0.05,0.000298,12,8.9
RS_S19_INC-1,0.05,0.000298,12,8.44
RS_S20_INC-1,0.05,0.000298,12,11.48
RS_S21_INC-1,0.05,0.000298,12,7.98
RS_S22_INC-1,0.05,0.000298,12,9.61
RS_S23_INC-1,0.05,0.000298,12,7.81
RS_S24_INC-1,0.05,0.000298,12,8.48
RS_S25_INC-1,0.05,0.000298,12,8.79
RS_S26_INC-1,0.05,0.000298,12,7.69
RS_S27_INC-1,0.05,0.000298,12,7.55
RS_S28_INC-1,0.05,0.000298,12,7.73
RS_S29_INC-1,0.05,0.000298,12,8.87
RS_R01_INC-1,0.05,0.000298,14,8.16
RS_R02_INC-1,0.05,0.000298,14,7.54
RS_R03_INC-1,0.05,0.000298,14,6.83
RS_R04_INC-1,0.05,0.000298,14,8.12
RS_R05_INC-1,0.05,0.000298,14,8.02
RS_R06_INC-1,0.05,0.000298,14,8.03
RS_R07_INC-1,0.05,0.000298,14,8.3
RS_S01_INC-1,0.05,0.000298,14,7.78
RS_S02_INC-1,0.05,0.000298,14,7.47
RS_S03_INC-1,0.05,0.000298,14,8.95
RS_S04_INC-1,0.05,0.000298,14,7.48
RS_S05_INC-1,0.05,0.000298,14,7.79
RS_S06_INC-1,0.05,0.000298,14,7.36
RS_S07_INC-1,0.05,0.000298,14,8.72
RS_S08_INC-1,0.05,0.000298,14,8.68
RS_S09_INC-1,0.05,0.000298,14,7.69
RS_S10_INC-1,0.05,0.000298,14,8.51
RS_S11_INC-1,0.05,0.000298,14,8.78
RS_S12_INC-1,0.05,0.000298,14,10.09
RS_S13_INC-1,0.05,0.000298,14,8.37
RS_S14_INC-1,0.05,0.000298,14,8.22
RS_S15_INC-1,0.05,0.000298,14,7.97
RS_S16_INC-1,0.05,0.000298,14,7.16
RS_S17_INC-1,0.05,0.000298,14,7.34
RS_S18_INC-1,0.05,0.000298,14,8.94
RS_S19_INC-1,0.05,0.000298,14,8.55
RS_S20_INC-1,0.05,0.000298,14,11.48
RS_S21_INC-1,0.05,0.000298,14,7.96
RS_S22_INC-1,0.05,0.000298,14,9.69
RS_S23_INC-1,0.05,0.000298,14,7.86
RS_S24_INC-1,0.05,0.000298,14,8.46
RS_S25_INC-1,0.05,0.000298,14,8.79
RS_S26_INC-1,0.05,0.000298,14,7.69
RS_S27_INC-1,0.05,0.000298,14,7.51
RS_S28_INC-1,0.05,0.000298,14,7.68
RS_S29_INC-1,0.05,0.000298,14,8.96
RS_R01_INC-1,0.05,0.000298,16,8.32
RS_R02_INC-1,0.05,0.000298,16,7.55
RS_R03_INC-1,0.05,0.000298,16,6.94
RS_R04_INC-1,0.05,0.000298,16,8.26
RS_R05_INC-1,0.05,0.000298,16,7.73
RS_R06_INC-1,0.05,0.000298,16,7.9
RS_R07_INC-1,0.05,0.000298,16,8.05
RS_S01_INC-1,0.05,0.000298,16,7.77
RS_S02_INC-1,0.05,0.000298,16,7.47
RS_S03_INC-1,0.05,0.000298,16,8.92
RS_S04_INC-1,0.05,0.000298,16,7.42
RS_S05_INC-1,0.05,0.000298,16,7.66
RS_S06_INC-1,0.05,0.000298,16,7.39
RS_S07_INC-1,0.05,0.000298,16,8.93
RS_S08_INC-1,0.05,0.000298,16,8.59
RS_S09_INC-1,0.05,0.000298,16,7.7
RS_S10_INC-1,0.05,0.000298,16,8.56
RS_S11_INC-1,0.05,0.000298,16,8.78
RS_S12_INC-1,0.05,0.000298,16,10.25
RS_S13_INC-1,0.05,0.000298,16,8.39
RS_S14_INC-1,0.05,0.000298,16,8.21
RS_S15_INC-1,0.05,0.000298,16,8.01
RS_S16_INC-1,0.05,0.000298,16,7.4
RS_S17_INC-1,0.05,0.000298,16,7.71
RS_S18_INC-1,0.05,0.000298,16,8.96
RS_S19_INC-1,0.05,0.000298,16,8.57
RS_S20_INC-1,0.05,0.000298,16,10.74
RS_S21_INC-1,0.05,0.000298,16,7.89
RS_S22_INC-1,0.05,0.000298,16,9.55
RS_S23_INC-1,0.05,0.000298,16,7.75
RS_S24_INC-1,0.05,0.000298,16,8.49
RS_S25_INC-1,0.05,0.000298,16,8.84
RS_S26_INC-1,0.05,0.000298,16,7.68
RS_S27_INC-1,0.05,0.000298,16,7.46
RS_S28_INC-1,0.05,0.000298,16,7.75
RS_S29_INC-1,0.05,0.000298,16,8.92
RS_R01_INC-1,0.05,0.000298,18,8.21
RS_R02_INC-1,0.05,0.000298,18,7.77
RS_R03_INC-1,0.05,0.000298,18,6.8
RS_R04_INC-1,0.05,0.000298,18,8.14
RS_R05_INC-1,0.05,0.000298,18,8.07
RS_R06_INC-1,0.05,0.000298,18,7.72
RS_R07_INC-1,0.05,0.000298,18,8.56
RS_S01_INC-1,0.05,0.000298,18,7.83
RS_S02_INC-1,0.05,0.000298,18,7.46
RS_S03_INC-1,0.05,0.000298,18,8.89
RS_S04_INC-1,0.05,0.000298,18,7.38
RS_S05_INC-1,0.05,0.000298,18,7.66
RS_S06_INC-1,0.05,0.000298,18,7.52
RS_S07_INC-1,0.05,0.000298,18,8.72
RS_S08_INC-1,0.05,0.000298,18,8.58
RS_S09_INC-1,0.05,0.000298,18,7.7
RS_S10_INC-1,0.05,0.000298,18,8.54
RS_S11_INC-1,0.05,0.000298,18,8.79
RS_S12_INC-1,0.05,0.000298,18,10.09
RS_S13_INC-1,0.05,0.000298,18,8.35
RS_S14_INC-1,0.05,0.000298,18,8.24
RS_S15_INC-1,0.05,0.000298,18,8.02
RS_S16_INC-1,0.05,0.000298,18,7.58
RS_S17_INC-1,0.05,0.000298,18,7.24
