Series,V,A,Time,Concentration
RS_R03_INC-1,50,0.000298,8,6.9
RS_R03_INC-1,50,0.000298,10,6.87
RS_R03_INC-1,50,0.000298,12,6.73
RS_R03_INC-1,50,0.000298,14,6.88
RS_R03_INC-1,50,0.000298,16,6.83
RS_R03_INC-1,50,0.000298,18,6.94
RS_R03_INC-1,50,0.000298,20,6.8
RS_R03_INC-1,50,0.000298,22,6.71
RS_R03_INC-1,50,0.000298,24,6.58
RS_R03_INC-1,50,0.000298,26,6.83
RS_R03_INC-1,50,0.000298,28,6.78
RS_R03_INC-1,50,0.000298,30,6.69
RS_R03_INC-1,50,0.000298,32,6.66
RS_R03_INC-1,50,0.000298,34,6.72
RS_R03_INC-1,50,0.000298,36,6.82
RS_R03_INC-1,50,0.000298,38,6.76
RS_R03_INC-1,50,0.000298,40,6.71
RS_R03_INC-1,50,0.000298,42,6.67
RS_R03_INC-1,50,0.000298,44,6.8
RS_R03_INC-1,50,0.000298,46,6.82
RS_R03_INC-1,50,0.000298,48,6.69
RS_R03_INC-1,50,0.000298,50,6.6
RS_R03_INC-1,50,0.000298,52,6.75
RS_R03_INC-1,50,0.000298,54,6.74
RS_R03_INC-1,50,0.000298,56,6.77
RS_R03_INC-1,50,0.000298,58,6.8
RS_R03_INC-1,50,0.000298,60,6.76
RS_R03_INC-1,50,0.000298,62,6.73
RS_R03_INC-1,50,0.000298,64,6.64
RS_R03_INC-1,50,0.000298,66,6.59
RS_R03_INC-1,50,0.000298,68,6.65
RS_R03_INC-1,50,0.000298,70,6.6
RS_R03_INC-1,50,0.000298,72,6.65
RS_R03_INC-1,50,0.000298,74,6.71
RS_R03_INC-1,50,0.000298,76,6.82
RS_R03_INC-1,50,0.000298,78,6.86
RS_R03_INC-1,50,0.000298,80,6.77
RS_R03_INC-1,50,0.000298,82,6.67
RS_R03_INC-1,50,0.000298,84,6.56
RS_R03_INC-1,50,0.000298,86,6.67
RS_R03_INC-1,50,0.000298,88,6.71
RS_R03_INC-1,50,0.000298,90,6.65
RS_R03_INC-1,50,0.000298,92,6.75
RS_R03_INC-1,50,0.000298,94,6.82
RS_R03_INC-1,50,0.000298,96,6.76
RS_R03_INC-1,50,0.000298,98,6.77
RS_R03_INC-1,50,0.000298,100,6.67
RS_R03_INC-1,50,0.000298,102,6.58
RS_R03_INC-1,50,0.000298,104,6.58
RS_R03_INC-1,50,0.000298,106,6.69
RS_R03_INC-1,50,0.000298,108,6.81
RS_R03_INC-1,50,0.000298,110,6.81
RS_R04_INC-1,50,0.000298,0,8.95
RS_R04_INC-1,50,0.000298,2,8.48
RS_R04_INC-1,50,0.000298,4,8.34
RS_R04_INC-1,50,0.000298,6,8.53
RS_R04_INC-1,50,0.000298,8,8.23
RS_R04_INC-1,50,0.000298,10,8.35
RS_R04_INC-1,50,0.000298,12,8.15
RS_R04_INC-1,50,0.000298,14,8.29
RS_R04_INC-1,50,0.000298,16,8.12
RS_R04_INC-1,50,0.000298,18,8.26
RS_R04_INC-1,50,0.000298,20,8.14
RS_R04_INC-1,50,0.000298,22,8.11
